file,assembly,part,color,role,size_x_mm,size_y_mm,size_z_mm,assembly_tx_mm,assembly_ty_mm,assembly_tz_mm,volume_cm3,units
351_right_middle_dip_phalanx_01.stl,right_middle_dip_link,right_middle_dip_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,12.01,-5.504754,-195.004754,308.495246,1.4203,mm
352_right_middle_dip_pad_01.stl,right_middle_dip_link,right_middle_dip_pad,rubber,cosmetic exterior,1.747,9.004,6.004,5.455016,-193.501902,311.498098,0.087,mm
353_right_middle_dip_knuckle_01.stl,right_middle_dip_link,right_middle_dip_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-195.500909,317.8,0.5108,mm
354_right_ring_mcp_phalanx_01.stl,right_ring_mcp_link,right_ring_mcp_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,25.01,-5.504754,-212.004754,346.495246,3.0917,mm
355_right_ring_mcp_pad_01.stl,right_ring_mcp_link,right_ring_mcp_pad,rubber,cosmetic exterior,1.747,9.004,19.004,5.455016,-210.501902,349.498098,0.2823,mm
356_right_ring_mcp_knuckle_01.stl,right_ring_mcp_link,right_ring_mcp_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-212.500909,368.8,0.5108,mm
357_right_ring_pip_phalanx_01.stl,right_ring_pip_link,right_ring_pip_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,17.01,-5.504754,-212.004754,326.495246,2.0631,mm
358_right_ring_pip_pad_01.stl,right_ring_pip_link,right_ring_pip_pad,rubber,cosmetic exterior,1.747,9.004,11.004,5.455016,-210.501902,329.498098,0.1621,mm
359_right_ring_pip_knuckle_01.stl,right_ring_pip_link,right_ring_pip_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-212.500909,340.8,0.5108,mm
360_right_ring_dip_phalanx_01.stl,right_ring_dip_link,right_ring_dip_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,11.01,-5.504754,-212.004754,312.495246,1.2917,mm
361_right_ring_dip_pad_01.stl,right_ring_dip_link,right_ring_dip_pad,rubber,cosmetic exterior,1.747,9.004,5.004,5.455016,-210.501902,315.498098,0.072,mm
362_right_ring_dip_knuckle_01.stl,right_ring_dip_link,right_ring_dip_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-212.500909,320.8,0.5108,mm
363_right_little_mcp_phalanx_01.stl,right_little_mcp_link,right_little_mcp_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,19.01,-5.504754,-229.004754,352.495246,2.3203,mm
364_right_little_mcp_pad_01.stl,right_little_mcp_link,right_little_mcp_pad,rubber,cosmetic exterior,1.747,9.004,13.004,5.455016,-227.501902,355.498098,0.1922,mm
365_right_little_mcp_knuckle_01.stl,right_little_mcp_link,right_little_mcp_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-229.500909,368.8,0.5108,mm
366_right_little_pip_phalanx_01.stl,right_little_pip_link,right_little_pip_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,13.01,-5.504754,-229.004754,336.495246,1.5489,mm
367_right_little_pip_pad_01.stl,right_little_pip_link,right_little_pip_pad,rubber,cosmetic exterior,1.747,9.004,7.004,5.455016,-227.501902,339.498098,0.102,mm
368_right_little_pip_knuckle_01.stl,right_little_pip_link,right_little_pip_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-229.500909,346.8,0.5108,mm
369_right_little_dip_phalanx_01.stl,right_little_dip_link,right_little_dip_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,11.01,12.01,9.01,-5.504754,-229.004754,324.495246,1.0346,mm
370_right_little_dip_pad_01.stl,right_little_dip_link,right_little_dip_pad,rubber,cosmetic exterior,1.747,9.004,4.004,5.455016,-227.501902,326.998098,0.0569,mm
371_right_little_dip_knuckle_01.stl,right_little_dip_link,right_little_dip_knuckle,graphite,cosmetic exterior,8.4,13.002,8.4,-4.2,-229.500909,330.8,0.5108,mm
372_right_thumb_opposition_mount_01.stl,right_thumb_cmc_link,right_thumb_opposition_mount,graphite,cosmetic exterior,16.01,15.01,10.01,-8.004754,-159.504754,390.995246,2.2699,mm
373_right_thumb_spread_phalanx_01.stl,right_thumb_spread_link,right_thumb_spread_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,13.01,14.01,18.01,-6.504754,-159.004754,373.495246,3.0689,mm
374_right_thumb_spread_pad_01.stl,right_thumb_spread_link,right_thumb_spread_pad,rubber,cosmetic exterior,1.747,11.004,12.004,6.455016,-157.501902,376.498098,0.2174,mm
375_right_thumb_spread_knuckle_01.stl,right_thumb_spread_link,right_thumb_spread_knuckle,graphite,cosmetic exterior,15.002,8.4,8.4,-7.500909,-156.2,388.8,0.5754,mm
376_right_thumb_mcp_phalanx_01.stl,right_thumb_mcp_link,right_thumb_mcp_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,13.01,14.01,17.01,-6.504754,-159.004754,353.495246,2.8904,mm
377_right_thumb_mcp_pad_01.stl,right_thumb_mcp_link,right_thumb_mcp_pad,rubber,cosmetic exterior,1.747,11.004,11.004,6.455016,-157.501902,356.498098,0.199,mm
378_right_thumb_mcp_knuckle_01.stl,right_thumb_mcp_link,right_thumb_mcp_knuckle,graphite,cosmetic exterior,8.4,15.002,8.4,-4.2,-159.500909,367.8,0.5853,mm
379_right_thumb_ip_phalanx_01.stl,right_thumb_ip_link,right_thumb_ip_phalanx,bright_silver,articulated finger segment mock-up with 2.4 mm pilot bore,13.01,14.01,14.01,-6.504754,-159.004754,336.495246,2.3547,mm
380_right_thumb_ip_pad_01.stl,right_thumb_ip_link,right_thumb_ip_pad,rubber,cosmetic exterior,1.747,11.004,8.004,6.455016,-157.501902,339.498098,0.1437,mm
381_right_thumb_ip_knuckle_01.stl,right_thumb_ip_link,right_thumb_ip_knuckle,graphite,cosmetic exterior,8.4,15.002,8.4,-4.2,-159.500909,347.8,0.5853,mm
382_right_back_jet_01.stl,torso,right_back_jet,silver,cosmetic exterior,28.0,56.0,86.0,-121.0,-118.0,592.0,21.4791,mm
382_right_back_jet_02.stl,torso,right_back_jet,silver,cosmetic exterior,28.0,56.0,86.0,-93.0,-118.0,592.0,21.4791,mm
383_right_back_nozzle_01.stl,torso,right_back_nozzle,graphite,cosmetic exterior,48.034,48.034,20.034,-117.016783,-114.016783,581.983217,8.4823,mm
384_right_back_nozzle_ring_01.stl,torso,right_back_nozzle_ring,copper,cosmetic exterior,52.036,52.036,5.036,-119.018182,-116.018182,581.481818,1.6446,mm
385_right_jet_mount_01.stl,torso,right_jet_mount,graphite,cosmetic exterior,38.014,14.014,16.014,-89.007131,-97.007131,645.992869,7.3666,mm
